ulasan,rating,sentimen
"Ranting nya 2,4 orang2 pd kenapa ? Selama aku pakai tdk ada masalah, kualitas video di Netflix malah lebih bagus, streaming lebih lancar.",5,positif
good,5,positif
Kok gabisa dibuka sih ihpp,1,negatif
apk sangat bagus film nya bagus bagus keren,5,positif
Ampas coba indoxxi gak diblokir,1,negatif
Bagus,4,positif
"Kecewa bgt, ga bsa masuk dg note salah memasukkan email/sandi. Pdhal udh bnr. Tolong dong perbaiki lg sistemnya",1,negatif
Pantes aplikasi ini berbayar kirain free,1,negatif
abg ngentot,5,positif
"I don't know there is a problem with my internet network or what but when I enter my email, that's where I waited for a long time I was annoyed:(((😔😡🤬",3,negatif
Pengen rame yah kok menghina tuhan,1,negatif
MONEY HIEST,4,positif
"Saya tidak memberi bintang, tapi tidak dapat di posting jadi mending kasi 1 aj karena saat saya masuk pertamakali ditanya gmail dan sandi saya sudah sesuai dan benar tapi trus aja bilang sandi atau gmail anda tidak valid hey saya udh instal ulang siapa tau salah kenapa gitu eh malah sama aja ternyata tolong saya ingin menonton di netflix tapi karena gmail dan kata sandi aj saya jadi gk bisa nonton Jika ad yg punya masalah yg sama tolong komen seperti ini.",1,negatif
Ok,5,positif
Apakah ada acara olahraganya contoh sepak bola nonton live,1,negatif
"Netflix saya tiba-tiba error, layarnya jadi terang sendiri, dan tidak bisa diatur. Digelapin gak bisa. Mohon bantuannya, diperbaiki error tersebut",4,positif
So far so good,5,positif
Mtap,5,positif
Daftarnya Susah amat,1,negatif
Bagus banget,4,positif
Loveee tht app somuch,5,positif
APK PALING JELEK YANG PERNAH ADA!!!!!,1,negatif
Bagus,3,negatif
Lumayan,5,positif
Anjay,5,positif
Aku sangat menyukai aplikasi ini,4,positif
"Tolong kembalikan saldo dana saia , saia belum berlangganan udah kepotong saldonya🙏",1,negatif
ini lama2 tagihannya mahal. padahal filmnya itu2 aja.. tagihan awal hanya 80 rb an sekarang 186 rb tagihannya... apa2an ini aplikasinya 👹👺👹👺,1,negatif
White washing,1,negatif
"bayar 65rb cuma disatu perangkat doang😅 tertipu dengan tulisan bisa di pake di HP, laptop dan tablet. bisa emang tapi ga bs bersamaan😅.",3,negatif
"Udah bayar tpi g bisa di buka, burukkk",1,negatif
Terimakasih BAnyak,5,positif
app tak bisa dibuka,1,negatif
No sex bebas,1,negatif
Perbaiki server yang lama responnya untuk lainnya sudah bagus,3,negatif
Diskon dong jadi member,5,positif
"Apalah dikit dikit berbayar, mau daftar aja mesti bayar",1,negatif
Keren,5,positif
"Apk kontol,ga ush bawak² agama lah ppq",1,negatif
kadang kalo mau upgrade suka gagal,4,positif
Makasih udh buat aplikasi ini,5,positif
Harus bayar,2,negatif
Ini gimana sih kok gak bisa di bukak aplikasi nya!!!!,1,negatif
"Aplikasi engga jelas susah bgt buat daftar nya , nol gak dikasih bintang .",1,negatif
Maksa amat di instal Udah di uninstal juga tiba-tiba terinstal lagi dengan sendirinya,1,negatif
"Bagus, udh lama gk langganan,mau berlangganan lagi tapi gk tau ada film baru apa aja di netflix, tolong dong sedia-kan fitur ""jelajahi"" biar bisa tau koleksi film netflix nya sebelum berlangganan 😁",3,negatif
👍👍👍👍👍,5,positif
Masekke,1,negatif
Aplikasinya burik anjr,1,negatif
👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,1,negatif
Coba dl,4,positif
Oke,5,positif
Mending nego lagi sama pemerintah biar bs dibuka akses pembayaran ga kredit doang deh ngab,1,negatif
Boikot umbrella academy3 atau ga gua serang Lo.,1,negatif
Gak bisa login padahal gk ada yg salah sandinya kecewa banget,1,negatif
Cara metode pembayarannya gimana,1,negatif
Gak habis pikir lg. Padahal niatnya mau membayar tagihan bulanan.tp susahnya minta ampun. Padahal udah diikuti petunjuk pembayarannya. Tp ttp gak bs. Lama2 HP kebanting jg ni.,3,negatif
Bagus,4,positif
Gak jelas gak bisa masuk,1,negatif
Saya tidak bisa instal gta sa Netflix,5,positif
Gak bisa di buka,1,negatif
Good,5,positif
kok mutter2 terus mentok 25% ga bisa play video nya ad yg sama ga sih padahal wifi normal 😭 ternyata pas. di cek aplikasi nya update terakhir 2018 di tv Samsung ini sudah 2025 ga di update Netflix pantes ga BS muter semua video nya astagaa rugi bayar😭😭,1,negatif
Mantap,5,positif
Hot,5,positif
Tidak bisa d buka app nya pdhl udh d instal,1,negatif
seharusnya jgn menayangkan film yg menistakan agama islam!!! harus lebih teliti dan bijak,1,negatif
MATA DUITAN APK GAGUNA,1,negatif
Baik,5,positif
susah log in nya :(,2,negatif
I like,5,positif
"Dulu pas hp belum hilang sudah pernah download dan eambg seru nonton di Netflix, sekarang baru lagi bakaln sering nonton",5,positif
"Aplikasi ny tidak melihat film"" yg akan d siarkan hingga lafas Allah SWT yaitu Tuhan yang di sembah orang-orang Islam saya sebagai orang Islam dan hamba Allah sangat marah dan murka karena hal tersebut",1,negatif
Ok,5,positif
Klo bagus apl nya Bru aku kasih bintang 5,3,negatif
Bagus,5,positif
Ok,5,positif
Cakep,5,positif
"Balikan saldo DANA saya, tidak ada persetujuan lagi langsung potong saldo dana saya saja",1,negatif
Katanya gratis ternyata bayar dalah masih bocil😞,1,negatif
Paan sii apk mau liat film doang juga ribet,1,negatif
Mantappp,5,positif
Boikot umbrella,1,negatif
👉🏻🖤👈🏻,5,positif
"My ""get out of boredom 101""",5,positif
"Filmny lbh banyak, cocok yg doyan nonton",5,positif
apk blok tlol,1,negatif
"Tambahkan metode pembayaran nya dong, gk semua orang punya kartu kredit",2,negatif
Saya kasih bintang 1 dulu downloadnya belum selesai... Saya melihat ulasan nya banyk yg mengkritis... Kalo emang susah giru mending pakek VIU aja gratiiisssssss,1,negatif
Keren banget aplikasi ini,5,positif
sering eror,4,positif
Kenapa Netflix gak bida daftar baik pakai yahoo mail / Gmail,1,negatif
👎,1,negatif
"Hati2 menggunakan kartu kredit, sudah berhenti langganan netflix, tetep aja dipotong tiap bulan. Perubahan paketpun sepihak",1,negatif
Apasi mau masuk aja susah banget harus pake email atau no HP sam sandi susah saya kecewa dengan Netflix,1,negatif
Yaa,5,positif
